date,downloads_week,stars,forks,watchers,open_issues,cmp_xlsx-chart,cmp_exceljs
2026-08-18,,,,,,9104,11493707
2026-08-18,,0,0,0,0,9104,11493707
2026-08-19,,0,0,0,0,9104,11493707
2026-08-19,,0,0,0,0,9104,11493707
2026-08-20,235,0,0,0,0,6529,11398895
